,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTHPmock_1,CPM.WTHPmock_2,CPM.WTHPmock_3,CPM.WTHPmock_4,CPM.WTHPmyc_1,CPM.WTHPmyc_2,CPM.WTHPmyc_3,CPM.WTHPmyc_4
968,AGIS_Os01g009680,-1.386785e+00,-1.1995348567, 8.399271e-01,3.848329e-01,0.789699099,Not_significant,7.282123e-01,3.312817e-01,7.204785e-01,3.992841e-01,0.000000e+00,3.084024e-01,2.735597e-01,4.610719e-01
969,AGIS_Os01g009690,-3.910049e-01,-1.8487419488, 6.146188e-02,8.101203e-01,0.949762689,Not_significant,2.570161e-01,6.625634e-02,4.648249e-01,2.424225e-01,1.760521e-01,5.345641e-01,4.559328e-02,1.646686e-01
970,AGIS_Os01g009700,-5.504970e-01, 1.2363432257, 1.743101e+00,2.213950e-01,0.697008696,Not_significant,2.870013e+00,2.451485e+00,2.091712e+00,3.180012e+00,3.198280e+00,2.364418e+00,8.662723e-01,1.514951e+00
971,AGIS_Os01g009710,-1.173146e+00, 5.2424766207, 1.556972e+01,4.541958e-03,0.318282581,DOWN,1.020354e+02,3.536432e+01,4.202017e+01,3.305502e+01,2.998754e+01,2.800294e+01,1.076001e+01,2.135751e+01
972,AGIS_Os01g009720, 1.483243e-01,-2.1176622593, 5.679255e-03,9.419122e-01,0.985734227,Not_significant,0.000000e+00,5.134866e-01,0.000000e+00,3.422435e-01,0.000000e+00,3.700829e-01,2.279664e-01,8.233428e-02
973,AGIS_Os01g009730, 8.545344e-03, 1.2499683354, 1.319148e-04,9.911059e-01,0.998375131,Not_significant,1.563515e+00,2.236151e+00,1.278268e+00,3.137232e+00,2.934202e-01,3.371866e+00,4.035005e+00,2.832299e+00
976,AGIS_Os01g009760,-4.659931e-01,-0.3850919274, 1.691207e-01,6.911299e-01,0.913005458,Not_significant,1.220826e+00,5.963071e-01,9.296497e-01,3.422435e-01,1.349733e+00,5.756844e-01,2.279664e-02,7.904090e-01
980,AGIS_Os01g009800,-4.659302e-01, 4.3360393066, 3.319819e+00,1.039431e-01,0.613438876,Not_significant,4.208639e+01,1.606716e+01,2.442655e+01,1.406050e+01,2.011395e+01,1.729109e+01,1.217341e+01,1.508364e+01
981,AGIS_Os01g009810,-8.398990e-01, 2.2911251645, 3.968239e+00,7.961721e-02,0.592517268,Not_significant,9.124072e+00,2.865587e+00,7.065338e+00,5.846660e+00,4.724065e+00,3.104584e+00,1.413392e+00,4.725987e+00
982,AGIS_Os01g009820, 1.595692e-02,-0.7146322670, 3.888034e-04,9.847261e-01,0.997277442,Not_significant,1.713441e-01,5.963071e-01,7.902023e-01,8.270885e-01,3.521042e-01,8.635267e-01,4.559328e-01,5.269394e-01
983,AGIS_Os01g009830, 3.117073e-02, 1.6271412843, 7.740437e-03,9.319428e-01,0.983424649,Not_significant,8.138843e-01,4.604816e+00,3.393221e+00,3.750418e+00,1.261707e+00,3.022343e+00,4.399752e+00,3.178103e+00
986,AGIS_Os01g009860,-1.671047e-02, 7.0984494455, 9.622044e-03,9.241469e-01,0.980676780,Not_significant,2.033640e+02,1.158823e+02,1.353570e+02,1.032720e+02,1.618212e+02,1.148696e+02,1.190441e+02,1.424218e+02
989,AGIS_Os01g009890,-1.248083e+00, 1.5542077227, 4.950044e+00,5.502257e-02,0.559493765,Not_significant,4.626290e+00,3.875996e+00,4.485560e+00,2.524046e+00,2.141967e+00,4.523235e-01,1.778138e+00,3.326305e+00
991,AGIS_Os01g009910,-1.727238e+00,-2.2786478884, 4.850326e-01,5.048597e-01,0.844052913,Not_significant,0.000000e+00,1.987690e-01,4.648249e-01,1.996420e-01,2.347362e-01,0.000000e+00,2.735597e-01,0.000000e+00
993,AGIS_Os01g009930,-4.617331e-01,-0.7507008178, 1.722793e-01,6.884358e-01,0.912206324,Not_significant,1.456425e+00,2.318972e-01,6.042723e-01,3.422435e-01,5.574984e-01,7.401657e-01,9.118656e-02,4.610719e-01
995,AGIS_Os01g009950,-5.825380e-01, 3.3297084144, 7.700107e+00,2.289263e-02,0.502232006,Not_significant,2.163219e+01,7.901068e+00,9.110567e+00,9.996362e+00,1.216227e+01,4.934438e+00,7.659671e+00,6.751411e+00
