GeneID	WTLPmock_1	WTLPmock_2	WTLPmock_3	WTLPmock_4	WTLPmyc_1	WTLPmyc_2	WTLPmyc_3	WTLPmyc_4
AGIS_Os01g003540	147	138	146	180	108	85	175	38
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	36	134	65	146	32	24	54	34
AGIS_Os01g003570	0	2	0	0	0	0	0	0
AGIS_Os01g003580	162	130	546	399	487	190	354	431
AGIS_Os01g003590	88	122	278	116	108	38	78	142
AGIS_Os01g003600	2804	4860	5943	4243	5332	2835	5173	4072
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	17	42	50	26	34	0	0	0
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	324	228	139	262	45	52	240	61
AGIS_Os01g003700	2572	3037	3538	2879	3402	2527	3708	2473
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	12	12	16	8	16	10	34	38
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	95	110	65	94	51	31	49	48
AGIS_Os01g003750	77	70	119	81	202	217	284	180
AGIS_Os01g003760	344	510	637	582	391	340	650	487
AGIS_Os01g003770	151	215	230	335	137	136	220	125
AGIS_Os01g003780	87	140	327	148	190	201	352	164
AGIS_Os01g003790	12961	20642	23115	16975	7707	6426	9808	4811
AGIS_Os01g003800	1299	1891	2370	1609	1135	672	1197	773
AGIS_Os01g003810	462	1156	1514	1349	3159	3102	4202	3468
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	260	391	452	224	177	159	199	172
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	449	575	895	593	1076	473	1098	849
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	25	18	2	0	21	2	10	6
AGIS_Os01g003920	562	669	1067	963	517	419	590	318
AGIS_Os01g003930	2865	6512	4623	4255	2269	1480	2948	1354
AGIS_Os01g003940	682	1122	1179	875	673	366	621	543
AGIS_Os01g003950	65	158	138	147	87	23	40	21
AGIS_Os01g003960	270	582	504	433	463	318	410	250
AGIS_Os01g003970	109	257	186	162	181	125	196	99
AGIS_Os01g003980	47	33	69	38	23	81	56	59
AGIS_Os01g003990	16	19	20	9	22	2	4	0
AGIS_Os01g004000	178	322	263	270	254	181	207	205
AGIS_Os01g004010	341	403	598	378	603	301	497	406
AGIS_Os01g004020	128	229	302	237	8	26	58	55
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	12	4	0	42	32	0	2	22
AGIS_Os01g004050	249	334	555	287	381	263	430	261
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	0
AGIS_Os01g004080	1	40	50	25	6	1	29	12
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	0	0	43	6	28	0	8	14
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	30	32	18	22	0	0	0	3
AGIS_Os01g004130	394	572	672	487	748	467	670	575
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	10	0	0	0	0	0	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	52	97	118	37	50	61	192	114
AGIS_Os01g004190	0	0	14	2	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	0	0	0	0	14	12	20	6
AGIS_Os01g004220	0	0	6	0	12	0	11	0
AGIS_Os01g004230	4	1	8	0	0	0	0	0
AGIS_Os01g004240	6	18	0	4	18	6	0	4
AGIS_Os01g004250	11	26	10	8	2	14	22	0
AGIS_Os01g004260	1258	1536	1868	1463	1603	1205	2066	1501
AGIS_Os01g004270	18	108	179	56	234	135	202	163
AGIS_Os01g004280	1	16	6	0	2	0	8	8
AGIS_Os01g004290	0	0	1	20	0	0	6	0
AGIS_Os01g004300	8	17	18	21	3	0	0	8
AGIS_Os01g004310	843	759	1192	868	1157	927	1620	1225
AGIS_Os01g004320	0	0	0	0	0	0	0	0
AGIS_Os01g004330	15883	21476	25605	21433	11867	9357	11662	10023
AGIS_Os01g004340	1677	1209	1890	1302	1332	1634	2723	2003
AGIS_Os01g004350	188	289	163	143	91	112	151	126
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	1381	1645	2113	1337	1518	927	1810	1031
AGIS_Os01g004380	739	882	1168	936	1324	682	1450	862
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	1023	1181	1867	1265	1331	1023	1684	973
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	0	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	12	8	13	6	12	22	54	30
AGIS_Os01g004460	1344	2440	2638	1688	1811	1088	2034	1202
AGIS_Os01g004470	136	181	186	159	162	136	217	149
AGIS_Os01g004480	1109	2278	2280	1398	1087	896	1176	866
AGIS_Os01g004490	8	90	74	93	32	32	139	36
AGIS_Os01g004500	6222	8354	7883	8088	1696	1656	2055	845
AGIS_Os01g004510	150	277	373	277	302	331	394	198
AGIS_Os01g004520	1893	4077	4497	2802	3289	2248	3336	2667
AGIS_Os01g004530	113	64	54	84	32	44	101	114
AGIS_Os01g004540	480	744	797	505	739	400	768	648
AGIS_Os01g004550	6	18	52	0	0	4	10	79
AGIS_Os01g004560	12	18	13	18	0	0	0	0
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	6	0	12	6	0	0	14	0
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	2140	2694	3974	3232	4363	3078	4855	2902
AGIS_Os01g004630	530	524	657	700	456	326	670	415
AGIS_Os01g004640	585	878	1344	914	1176	994	1593	1262
AGIS_Os01g004650	466	590	804	727	816	260	372	655
