GeneID	pho2mockLP_1	pho2mockLP_2	pho2mockLP_3	pho2mockLP_4	pho2mockHP_1	pho2mockHP_2	pho2mockHP_3	pho2mockHP_4
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	26	16	16	6	16	0	14	22
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	18	0	6	1	3	0	8	6
AGIS_Os01g004130	584	360	374	320	328	423	364	222
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	0	6	0	0	0	0	2
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	78	63	83	19	6	4	4	12
AGIS_Os01g004190	0	0	0	0	0	0	0	0
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	0	1	0	0	0	0	0	0
AGIS_Os01g004220	10	8	0	0	0	1	0	8
AGIS_Os01g004230	0	1	0	0	0	0	0	0
AGIS_Os01g004240	5	0	4	6	0	0	0	0
AGIS_Os01g004250	25	12	2	1	15	3	6	18
AGIS_Os01g004260	1050	1926	1766	1669	1547	1378	1317	1867
AGIS_Os01g004270	98	131	111	140	93	154	116	171
AGIS_Os01g004280	0	22	5	8	19	15	0	10
AGIS_Os01g004290	0	6	6	6	13	0	0	6
AGIS_Os01g004300	0	28	47	18	28	1	0	10
AGIS_Os01g004310	554	1057	1106	967	862	938	684	901
AGIS_Os01g004320	2	0	0	1	0	0	26	0
AGIS_Os01g004330	20098	12540	12833	14524	9316	10278	17230	12426
AGIS_Os01g004340	1046	3189	3967	3100	2333	2828	1661	3483
AGIS_Os01g004350	84	346	447	232	242	341	81	125
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	809	1632	1686	1634	1147	1409	537	1632
AGIS_Os01g004380	838	759	880	633	851	889	968	887
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	1403	1330	1254	1232	775	998	1767	1201
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	0	26	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	4	24	42	5	32	25	0	12
AGIS_Os01g004460	2108	1824	1402	1353	1743	1404	2050	1835
AGIS_Os01g004470	50	221	249	103	167	181	68	125
AGIS_Os01g004480	2066	1681	1401	1313	1499	1454	1863	1699
AGIS_Os01g004490	58	41	60	49	40	36	72	58
AGIS_Os01g004500	3084	2643	2245	1531	1385	2074	1550	789
AGIS_Os01g004510	130	294	315	218	149	203	207	233
AGIS_Os01g004520	4486	2537	2508	3073	1758	2077	3554	4160
AGIS_Os01g004530	91	140	215	113	135	82	81	75
AGIS_Os01g004540	897	621	541	638	525	473	822	791
AGIS_Os01g004550	33	62	23	75	48	26	40	77
AGIS_Os01g004560	29	4	10	28	26	9	6	40
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	0	21	44	8	15	14	0	0
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	2507	2510	2291	2166	1747	2150	3568	2268
AGIS_Os01g004630	245	528	692	556	361	617	573	431
