,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2mycLP_1,CPM.pho2mycLP_2,CPM.pho2mycLP_3,CPM.pho2mycLP_4,CPM.pho2mycHP_1,CPM.pho2mycHP_2,CPM.pho2mycHP_3,CPM.pho2mycHP_4
13702,AGIS_Os03g017040,-2.663965e-02, 5.322149e+00, 3.625962e-02,8.527375e-01,0.9308073695,Not_significant,4.786352e+01,3.509122e+01,4.519721e+01,3.355445e+01,4.300243e+01,4.542839e+01,3.536646e+01,3.425893e+01
13703,AGIS_Os03g017050,-6.278055e-01, 1.925665e+00, 6.504583e+00,2.855103e-02,0.1490228877,Not_significant,5.959929e+00,4.167083e+00,3.459787e+00,4.609912e+00,3.963578e+00,1.921056e+00,2.762210e+00,3.279272e+00
13704,AGIS_Os03g017060,-2.769025e-02, 2.483725e+00, 1.488461e-02,9.052803e-01,0.9570384761,Not_significant,6.696291e+00,5.280554e+00,4.839702e+00,5.385030e+00,4.894779e+00,5.141111e+00,4.253465e+00,7.945928e+00
13705,AGIS_Os03g017070, 2.753758e-01, 5.026662e+00, 3.683347e+00,8.350612e-02,0.2738202436,Not_significant,2.738346e+01,2.712821e+01,2.729832e+01,3.634895e+01,3.414407e+01,3.576823e+01,4.026388e+01,3.213056e+01
13707,AGIS_Os03g017090, 2.493146e-01, 1.826207e+00, 1.095497e+00,3.195569e-01,0.5680213456,Not_significant,3.612775e+00,2.783679e+00,2.959817e+00,3.467633e+00,4.345609e+00,3.274942e+00,4.067058e+00,3.563055e+00
13708,AGIS_Os03g017100,-9.343581e-01, 3.781104e+00, 1.846431e+01,1.740154e-03,0.0290463603,Not_significant,1.472724e+01,2.474943e+01,1.481909e+01,1.756254e+01,8.356941e+00,7.226828e+00,8.439146e+00,1.377925e+01
13709,AGIS_Os03g017110,-2.436238e+00, 1.276432e-01, 8.206146e+00,1.801045e-02,0.1147391838,Not_significant,1.472724e+00,2.446263e+00,4.999692e-01,2.488536e+00,7.163092e-02,1.097746e-01,5.761666e-01,7.567551e-01
13710,AGIS_Os03g017120,-7.092124e-01, 6.678751e+00, 1.871106e+01,1.477158e-03,0.0260601153,Not_significant,1.394025e+02,1.127474e+02,9.923388e+01,1.576345e+02,6.005059e+01,7.279886e+01,8.750954e+01,8.991196e+01
13711,AGIS_Os03g017130,-8.928542e-01, 1.469735e+00, 9.116498e+00,1.271350e-02,0.0948486115,Not_significant,2.669312e+00,3.644089e+00,3.919758e+00,3.895987e+00,1.981789e+00,1.225816e+00,2.169098e+00,2.349094e+00
13712,AGIS_Os03g017140,-1.690092e-01, 4.486823e+00, 9.522277e-01,3.520211e-01,0.5968862951,Not_significant,2.954652e+01,1.960385e+01,2.299858e+01,2.282518e+01,1.735856e+01,2.479077e+01,2.082673e+01,2.112608e+01
13713,AGIS_Os03g017150, 1.132823e-01, 3.267369e+00, 4.398757e-01,5.219692e-01,0.7319946386,Not_significant,1.060821e+01,8.604098e+00,1.005938e+01,7.649190e+00,1.107892e+01,1.037370e+01,8.337470e+00,1.002700e+01
13714,AGIS_Os03g017160,-3.514804e-02, 5.788543e+00, 9.713029e-02,7.616126e-01,0.8815085213,Not_significant,6.015156e+01,5.003873e+01,5.537659e+01,5.799106e+01,5.646904e+01,4.974619e+01,5.136356e+01,6.076113e+01
13715,AGIS_Os03g017170,-8.318274e-01, 2.465443e+00, 6.499911e+00,3.007229e-02,0.1541110859,Not_significant,1.417497e+01,3.441639e+00,5.699649e+00,6.078556e+00,3.414407e+00,3.439604e+00,2.948617e+00,4.745485e+00
13717,AGIS_Os03g017190, 7.344115e-01, 4.206879e-02, 2.223298e+00,1.663706e-01,0.4008480340,Not_significant,6.213053e-01,6.242189e-01,1.359916e+00,4.895481e-01,1.337110e+00,9.147884e-01,1.254010e+00,1.324321e+00
13718,AGIS_Os03g017200,-1.671656e-02, 5.132273e+00, 1.682799e-02,8.993222e-01,0.9538631435,Not_significant,3.695616e+01,3.203761e+01,3.157805e+01,4.036732e+01,3.256819e+01,3.033438e+01,3.939963e+01,3.703370e+01
13720,AGIS_Os03g017220,-3.143757e-01,-3.059835e-01, 2.338689e-01,6.389397e-01,0.8086858185,Not_significant,4.142035e-01,8.435390e-01,9.199433e-01,7.547201e-01,9.550789e-02,1.207521e+00,1.457363e+00,4.256747e-01
