GeneID	HPmycWT_1	HPmycWT_2	HPmycWT_3	HPmycWT_4	HPmycpho2_1	HPmycpho2_2	HPmycpho2_3	HPmycpho2_4
AGIS_Os01g003850	292	237	249	267	198	208	172	202
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	1040	713	626	767	563	1095	971	1046
AGIS_Os01g003880	0	0	0	0	0	0	0	0
AGIS_Os01g003890	0	0	0	0	0	0	0	0
AGIS_Os01g003900	0	0	0	0	0	0	0	0
AGIS_Os01g003910	46	2	0	23	0	2	18	8
AGIS_Os01g003920	1259	505	469	599	389	487	559	532
AGIS_Os01g003930	5983	3039	1564	3617	2142	2526	2227	2425
AGIS_Os01g003940	1332	1002	816	1068	664	828	931	867
AGIS_Os01g003950	116	40	64	18	50	102	89	52
AGIS_Os01g003960	424	487	419	512	235	324	254	510
AGIS_Os01g003970	154	211	163	188	84	112	74	197
AGIS_Os01g003980	124	64	56	87	51	57	71	104
AGIS_Os01g003990	19	46	0	16	2	2	14	6
AGIS_Os01g004000	217	159	227	198	149	209	133	134
AGIS_Os01g004010	781	404	387	413	162	515	287	368
AGIS_Os01g004020	170	67	40	68	49	43	35	16
AGIS_Os01g004030	0	0	0	0	0	0	0	0
AGIS_Os01g004040	26	6	4	12	8	0	1	7
AGIS_Os01g004050	486	232	251	380	238	333	219	270
AGIS_Os01g004060	0	0	0	0	0	0	0	0
AGIS_Os01g004070	0	0	0	0	0	0	0	0
AGIS_Os01g004080	12	18	26	32	28	15	9	62
AGIS_Os01g004090	0	0	0	0	0	0	0	0
AGIS_Os01g004100	9	8	6	0	0	4	2	12
AGIS_Os01g004110	0	0	0	0	0	0	0	0
AGIS_Os01g004120	10	26	3	4	16	13	9	16
AGIS_Os01g004130	1033	674	359	559	451	510	384	642
AGIS_Os01g004140	0	0	0	0	0	0	0	0
AGIS_Os01g004150	0	8	0	0	0	0	0	0
AGIS_Os01g004160	0	0	0	0	0	0	0	0
AGIS_Os01g004170	0	0	0	0	0	0	0	0
AGIS_Os01g004180	22	12	14	4	41	64	103	112
AGIS_Os01g004190	0	0	0	0	0	10	0	10
AGIS_Os01g004200	0	0	0	0	0	0	0	0
AGIS_Os01g004210	0	0	0	0	0	0	8	8
AGIS_Os01g004220	10	0	0	14	6	16	6	12
AGIS_Os01g004230	0	0	0	1	6	0	0	0
AGIS_Os01g004240	12	6	1	6	0	0	0	14
AGIS_Os01g004250	12	0	0	4	0	1	0	8
AGIS_Os01g004260	1485	1671	1617	1942	1432	1925	1945	2282
AGIS_Os01g004270	126	202	136	181	117	285	170	363
AGIS_Os01g004280	0	4	3	34	0	0	18	34
AGIS_Os01g004290	0	0	0	0	6	2	0	0
AGIS_Os01g004300	0	2	1	4	4	10	16	10
AGIS_Os01g004310	700	1004	1213	1601	814	1386	1251	1334
AGIS_Os01g004320	0	0	0	6	0	2	0	1
AGIS_Os01g004330	13733	7635	6786	7965	12474	13554	11148	10463
AGIS_Os01g004340	1504	2427	3754	3200	2531	2505	3601	4219
AGIS_Os01g004350	102	102	274	119	186	168	182	432
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	365	1365	1220	1128	1101	1851	1649	1890
AGIS_Os01g004380	1346	976	941	1212	966	1030	962	1443
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	2739	1033	1215	1851	1116	1345	1558	1405
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	2	0	0	0	0	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	12	28	41	6	3	32	22	40
AGIS_Os01g004460	3790	2004	1535	2981	1300	1650	1742	1269
AGIS_Os01g004470	38	210	279	268	138	156	164	270
AGIS_Os01g004480	3225	1850	1243	1667	1030	1549	1677	1406
AGIS_Os01g004490	48	12	60	33	94	28	91	132
AGIS_Os01g004500	9177	3683	5454	5102	1060	840	1035	1696
AGIS_Os01g004510	157	260	364	420	267	257	283	341
AGIS_Os01g004520	5570	2693	2134	3538	2062	2729	3208	2521
AGIS_Os01g004530	36	72	79	144	95	122	111	123
AGIS_Os01g004540	1028	564	476	724	419	693	675	622
AGIS_Os01g004550	23	42	28	18	33	45	40	44
AGIS_Os01g004560	8	44	0	12	0	12	20	12
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	12	12	10	0	9	0	1	16
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	5653	2272	2025	3562	2529	3234	3591	3803
