,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2LPmock_1,CPM.pho2LPmock_2,CPM.pho2LPmock_3,CPM.pho2LPmock_4,CPM.pho2LPmyc_1,CPM.pho2LPmyc_2,CPM.pho2LPmyc_3,CPM.pho2LPmyc_4
2185,AGIS_Os01g021850, 1.343328e+00, 0.7904913555,1.244381e+00,3.002306e-01,5.208742e-01,Not_significant,3.920085e+00,0.000000e+00,1.410103e+00,4.391093e-01,2.270866e+00,1.676277e+00,1.280219e+00,2.224860e+00
2188,AGIS_Os01g021880, 5.159376e-01, 4.5950335831,3.467744e+00,1.034159e-01,2.835767e-01,Not_significant,1.054689e+01,2.040815e+01,2.840350e+01,2.230675e+01,2.823099e+01,3.200165e+01,2.459850e+01,2.614210e+01
2189,AGIS_Os01g021890, 6.071524e-01, 6.0751714998,2.933198e+00,1.290215e-01,3.201076e-01,Not_significant,1.708037e+01,6.656491e+01,8.033558e+01,6.586640e+01,7.406119e+01,7.394667e+01,7.859631e+01,8.222711e+01
2192,AGIS_Os01g021920, 4.160925e-01, 4.4847599505,5.990262e+00,4.292191e-02,1.673076e-01,Not_significant,1.698703e+01,1.975967e+01,2.240049e+01,1.752046e+01,2.451503e+01,2.495367e+01,2.638166e+01,2.591034e+01
2193,AGIS_Os01g021930, 1.785989e+00, 8.3014390588,1.275964e+02,7.000819e-06,5.632465e-04,UP,1.164825e+02,1.359526e+02,1.549502e+02,1.615483e+02,5.040806e+02,4.265363e+02,4.813167e+02,5.424022e+02
2196,AGIS_Os01g021960,-3.972418e-01, 2.6931871850,1.510927e+00,2.573553e-01,4.757549e-01,Not_significant,7.186822e+00,6.828148e+00,7.815999e+00,6.718372e+00,7.173871e+00,5.676483e+00,3.154826e+00,6.489174e+00
2200,AGIS_Os01g022000,-1.742609e+00, 8.8384010813,5.920854e+01,9.729641e-05,3.395861e-03,DOWN,8.606919e+02,5.040623e+02,7.602872e+02,6.324930e+02,2.938191e+02,1.190538e+02,3.575927e+02,1.332598e+02
2201,AGIS_Os01g022010, 3.720039e+00,-0.4168756444,9.095529e+00,1.869892e-02,1.001025e-01,Not_significant,1.400030e-01,0.000000e+00,4.028866e-01,0.000000e+00,9.806011e-01,5.333608e-01,1.600274e+00,1.714996e+00
2204,AGIS_Os01g022040, 1.003949e+00, 5.1113714161,3.991102e+00,8.448818e-02,2.526006e-01,Not_significant,3.873417e+00,3.250046e+01,4.145703e+01,2.713696e+01,3.230823e+01,6.590816e+01,3.223409e+01,4.037193e+01
2205,AGIS_Os01g022050,-5.112167e-01, 6.2676996450,4.613679e+00,6.747967e-02,2.203201e-01,Not_significant,1.459765e+02,7.469002e+01,6.337406e+01,8.545067e+01,5.481044e+01,6.099362e+01,5.870719e+01,7.170537e+01
2207,AGIS_Os01g022070,-6.691116e-01, 7.8056484749,1.312821e+01,7.977911e-03,5.852143e-02,Not_significant,4.217824e+02,2.135418e+02,2.400398e+02,2.382168e+02,1.779017e+02,1.455313e+02,1.709550e+02,1.812334e+02
2210,AGIS_Os01g022100,-3.806550e-01, 0.7731409258,1.098960e-01,7.496391e-01,8.633134e-01,Not_significant,1.866707e-01,1.945450e+00,1.732412e+00,3.073765e+00,2.786972e+00,2.171540e+00,3.200548e-01,7.416199e-01
2211,AGIS_Os01g022110,-2.294378e-02, 6.8242357765,1.081739e-02,9.199828e-01,9.603162e-01,Not_significant,1.437364e+02,1.276368e+02,8.428387e+01,1.037176e+02,9.496347e+01,1.019100e+02,1.275190e+02,1.220892e+02
2212,AGIS_Os01g022120, 1.382566e-01, 2.3326214911,9.519187e-02,7.663542e-01,8.724183e-01,Not_significant,1.680036e+00,5.378597e+00,7.413113e+00,5.269312e+00,5.625554e+00,5.105025e+00,5.166599e+00,3.939856e+00
2220,AGIS_Os01g022200, 5.071826e-01, 0.4220621939,1.490225e-01,7.105495e-01,8.391502e-01,Not_significant,0.000000e+00,7.247755e-01,3.142515e+00,1.449061e+00,1.135433e+00,1.942957e+00,6.401096e-01,9.270249e-01
2223,AGIS_Os01g022230, 4.020579e-01, 3.7618842987,5.080145e-01,4.982901e-01,6.915092e-01,Not_significant,1.586701e+00,1.499141e+01,2.034577e+01,1.576402e+01,1.254137e+01,1.455313e+01,1.609418e+01,1.191227e+01
2224,AGIS_Os01g022240,-2.610953e-01, 2.6945777602,4.381569e-01,5.284835e-01,7.138782e-01,Not_significant,3.640079e+00,8.964329e+00,8.380041e+00,7.157482e+00,7.483535e+00,4.762150e+00,4.617934e+00,6.072013e+00
2227,AGIS_Os01g022270, 3.289272e-01,-0.1791182545,9.205482e-02,7.701025e-01,8.743349e-01,Not_significant,0.000000e+00,8.010677e-01,1.329526e+00,1.185595e+00,5.161058e-01,1.104819e+00,5.486654e-01,8.343224e-01
2228,AGIS_Os01g022280, 1.649466e-02, 3.9736540657,2.422716e-03,9.620716e-01,9.810447e-01,Not_significant,4.666767e+00,1.884416e+01,2.368973e+01,1.879388e+01,1.192204e+01,1.451503e+01,1.874607e+01,1.376632e+01
2229,AGIS_Os01g022290,-7.398224e-01, 7.1177530405,2.562410e+01,1.291066e-03,1.847894e-02,Not_significant,1.459765e+02,1.535761e+02,1.594625e+02,2.354943e+02,7.607400e+01,9.882414e+01,1.093673e+02,1.315912e+02
2232,AGIS_Os01g022320, 3.555429e-01, 3.9138929281,3.169086e+00,1.165524e-01,3.028932e-01,Not_significant,1.395363e+01,1.380888e+01,9.991587e+00,1.506145e+01,1.734116e+01,1.493410e+01,1.586557e+01,1.895766e+01
