,genes,logFC,logCPM,F,PValue,FDR,change,CPM.WTmockLP_1,CPM.WTmockLP_2,CPM.WTmockLP_3,CPM.WTmockLP_4,CPM.WTmockHP_1,CPM.WTmockHP_2,CPM.WTmockHP_3,CPM.WTmockHP_4
26460,AGIS_Os05g034970, 1.998785e+00,-0.5325297608, 6.072019e+00,3.811407e-02,0.2789439754,Not_significant,2.813637e-01,4.079968e-01,1.487248e-01,1.954158e-01,1.705048e+00,8.436847e-01,5.507406e-01,1.108330e+00
26461,AGIS_Os05g034980,-8.368889e-01, 5.4733950548, 3.360011e+00,1.033147e-01,0.4185816809,Not_significant,2.260288e+01,8.489881e+01,5.458199e+01,6.864956e+01,4.559964e+01,2.546394e+01,3.194295e+01,2.140223e+01
26462,AGIS_Os05g034990, 2.199078e+00,-0.4460980693, 2.318841e+00,1.654735e-01,0.5025061354,Not_significant,0.000000e+00,6.386037e-01,2.974495e-01,1.954158e-01,1.975360e+00,3.374739e-01,1.453955e+00,7.134076e-01
26464,AGIS_Os05g035010,-2.028076e-01, 3.9552947112, 7.146630e-01,4.216679e-01,0.7220197337,Not_significant,1.622531e+01,1.605379e+01,1.564585e+01,1.766558e+01,9.939182e+00,1.814689e+01,1.575118e+01,1.438281e+01
26465,AGIS_Os05g035020, 1.552737e+00, 2.4482875434, 2.205860e+01,1.412644e-03,0.0441355880,UP,2.649508e+00,2.110940e+00,4.431998e+00,2.012782e+00,1.118678e+01,7.363067e+00,7.996753e+00,5.630824e+00
26466,AGIS_Os05g035030, 1.128378e+00, 1.5822503745, 5.447060e+00,4.717639e-02,0.3040170960,Not_significant,1.781970e+00,1.915811e+00,1.487248e+00,1.387452e+00,7.402403e+00,2.147561e+00,5.881909e+00,1.707082e+00
26467,AGIS_Os05g035040,-2.689251e-01, 2.0250171781, 6.427141e-01,4.451375e-01,0.7364711977,Not_significant,3.634281e+00,4.949179e+00,5.264857e+00,3.615192e+00,3.638822e+00,2.623093e+00,5.463346e+00,3.095679e+00
26468,AGIS_Os05g035050, 8.853755e-01, 0.2369584387, 1.715377e+00,2.255914e-01,0.5645250307,Not_significant,5.861743e-01,4.789528e-01,1.368268e+00,5.862473e-01,2.515985e+00,1.426594e+00,1.806429e+00,3.949220e-01
26475,AGIS_Os05g035120,-1.098145e+00, 3.1274959703, 3.079186e+00,1.165330e-01,0.4383937343,Not_significant,1.193451e+01,1.266564e+01,9.994304e+00,7.367174e+00,1.538702e+00,1.222576e+01,2.247022e+00,1.163109e+01
26476,AGIS_Os05g035130,-2.929887e-01, 2.7527242212, 8.621513e-01,3.795082e-01,0.6903770235,Not_significant,8.323675e+00,8.284109e+00,6.410037e+00,5.979722e+00,4.740865e+00,8.513546e+00,3.833154e+00,7.541737e+00
26477,AGIS_Os05g035140, 1.873033e-01, 2.0187347988, 1.872246e-01,6.764133e-01,0.8644388973,Not_significant,3.423258e+00,4.292836e+00,2.766281e+00,3.556567e+00,8.525240e+00,3.420758e+00,4.163599e+00,2.012828e+00
26478,AGIS_Os05g035150,-3.887728e-02,-0.0116958981, 2.909031e-03,9.582666e-01,0.9837799284,Not_significant,7.268562e-01,1.153034e+00,6.692614e-01,9.770788e-01,6.653846e-01,7.363067e-01,2.269051e+00,4.840980e-01
26479,AGIS_Os05g035160, 1.637551e+00,-1.5116764486, 1.680826e+00,2.297965e-01,0.5698784741,Not_significant,7.034092e-02,1.773899e-01,1.189798e-01,1.954158e-01,5.406250e-01,3.374739e-01,9.472738e-01,1.656125e-01
26480,AGIS_Os05g035170, 8.808598e-01, 3.6649048402, 1.439187e+01,4.964585e-03,0.0954994098,Not_significant,9.167766e+00,7.503593e+00,1.337036e+01,6.038347e+00,1.973281e+01,1.352964e+01,1.967245e+01,1.217889e+01
26481,AGIS_Os05g035180, 1.712038e-01, 0.3531276011, 8.446393e-02,7.784873e-01,0.9102762755,Not_significant,8.440910e-01,1.419119e+00,1.383140e+00,7.621215e-01,2.037740e+00,1.043101e+00,1.982666e+00,4.840980e-01
26482,AGIS_Os05g035190, 8.943326e-01, 3.8219855738, 1.565020e+01,3.925968e-03,0.0819490983,Not_significant,1.078561e+01,7.219769e+00,1.298367e+01,8.793709e+00,2.048137e+01,1.679700e+01,2.128062e+01,1.452294e+01
26486,AGIS_Os05g035230,-7.207862e-01, 1.1411652056, 3.001276e+00,1.201789e-01,0.4427779669,Not_significant,2.532273e+00,1.933550e+00,3.152965e+00,2.892153e+00,1.850601e+00,6.902875e-01,1.982666e+00,2.331314e+00
26487,AGIS_Os05g035240,-5.707477e-01, 4.3669744892, 1.933773e+00,2.009919e-01,0.5416708113,Not_significant,3.355262e+01,2.336225e+01,1.873932e+01,1.911166e+01,8.400480e+00,2.121484e+01,1.046407e+01,2.993764e+01
26488,AGIS_Os05g035250,-4.360869e-01, 3.2938180700, 1.134833e+00,3.171635e-01,0.6427908555,Not_significant,1.488883e+01,1.296720e+01,8.209607e+00,8.187920e+00,3.742788e+00,1.138207e+01,7.313835e+00,1.147822e+01
26489,AGIS_Os05g035260,-2.904308e-01,-0.7469033565, 6.326340e-02,8.076050e-01,0.9226726747,Not_significant,1.406818e-01,6.740817e-01,7.882412e-01,7.425799e-01,9.564903e-01,6.749478e-01,3.524740e-01,1.528730e-01
26490,AGIS_Os05g035270,-7.321219e-02, 1.7696357621, 3.163254e-02,8.631551e-01,0.9470713322,Not_significant,3.915644e+00,3.867100e+00,2.364724e+00,3.263443e+00,2.162500e+00,2.561734e+00,2.885881e+00,5.962049e+00
