,gene,E_1,E_2,E_3,ppJ2_1,ppJ2_2,ppJ2_3,pJ2_1,pJ2_2,pJ2_3,J3_1,J3_2,J3_3,J4_1,J4_2,J4_3,RF_1,RF_2,RF_3,RM_1,RM_2,RM_3,cluster,membership
29,Hg_chrom1_TN10gene_2150,-1.32148831203404,-1.752947883478,-1.56802749298764,-0.840591935215012,-1.34261790517043,-0.820884808377804,-0.146165057864677,-0.193697087072726,-0.0127386351056865,1.77361303579572,1.74025104988312,0.982946359311517,0.331193800191616,0.957616081138535,0.640825070116724,-0.206174397785889,-0.0222610549040822,0.273984567450783,0.559399367481448,0.44515900890611,0.522606229720405,1,0.927197043798575
30,Hg_chrom1_TN10gene_2151,-1.43953007488999,-1.40839257187901,-1.49506930126506,-0.979599143744137,-1.07430955942904,-1.00675254826807,-0.504132537187059,-0.61190149716779,-0.381592496516067,0.942268096301657,0.786200572206772,0.678369625618224,1.03753184803402,1.67966438168425,1.14242730155399,0.0567154853524769,-0.101272090340266,0.0838409108099442,0.490978580756965,1.33712008930514,0.767434929063048,1,0.999910167600477
31,Hg_chrom1_TN10gene_2154,-1.35638180265046,-0.931689125310967,-1.94932985321715,-1.16248748360781,-1.00748320653004,-1.00628569647141,-0.363278818866555,-0.16990500339687,-0.442012849420214,0.648915979227188,0.2802198865549,0.282496690513398,1.1704792024975,1.67629063351691,1.23523300370465,-0.235089182050905,0.197151101641042,0.0334500684848061,0.792210840942026,1.3620258928138,0.945469721626166,1,0.797104756064008
32,Hg_chrom1_TN10gene_2171,-0.579352971601212,-0.768802506215274,-1.33136744672002,-1.13947447343169,-1.26161022837686,-0.842616424093282,-1.1909730430855,-0.789389145448035,-0.570653955656048,1.19725148366321,1.49756389971306,1.39774785384084,0.746585602307399,1.25463516386775,1.28604187556287,-0.0582212955822595,-0.441276676516091,-0.440467452797234,0.596513983814862,0.980271218459957,0.457594538293566,1,0.549653607733206
33,Hg_chrom1_TN10gene_2179,-1.23666062988726,-1.03627881127164,-1.24388937848793,-0.951929932170923,-1.21622689141056,-0.98735691640704,-1.02638110395307,-0.757135424519044,-0.780030909995967,1.33672394762113,1.04809048918889,0.812497051251516,0.997811314131699,1.37100398931724,1.11574793089103,-0.0814232623173421,0.00208818895530373,-0.068615362691435,0.664139327138324,1.19166026269498,0.846166121922093,1,0.998177868998608
34,Hg_chrom1_TN10gene_218,-1.80730048175962,-1.84020571658453,-1.85135355897681,-0.789385303596681,-0.80796544880045,-0.870597000342718,0.0929437163620314,0.106610524595235,0.167880495686302,0.750409391972206,0.823891386821215,0.813405746647761,1.29254823600252,1.256143180069,1.21782679296775,0.465337964641311,0.464781080803667,0.584586005319799,0.493209225568839,-0.166047982793413,-0.396718254603407,1,0.923818313166781
35,Hg_chrom1_TN10gene_28,-1.56546684226651,-1.46198636335913,-1.57774050109999,-1.11418854883138,-1.2563076457481,-1.31991645795318,-0.16954436169504,-0.290235770589114,-0.164301908376856,1.2137140296167,1.05922285323363,1.21393310039996,0.361686285903785,0.564826059491506,0.118017313175772,0.685510272937506,0.597017160372286,0.711661891369671,0.429386128831275,0.635180433920959,1.32953287066625,1,0.999960730312867
36,Hg_chrom1_TN10gene_33,-1.31203806145554,-1.31783806710305,-1.29284361638623,-1.28316736062415,-1.31085492192393,-1.30467549904756,0.274848704064646,0.314078533618993,0.311678555984541,0.653965831965651,0.664002383179429,0.656351759056152,-0.386031865118,-0.536927153929485,-0.332365429509725,1.06827584561551,1.07171336199213,0.933578348527191,0.139935309146148,1.63372496151356,1.35458838043373,1,0.894025004165363
37,Hg_chrom1_TN10gene_341,-1.69370965927499,-1.55939503139797,-1.46951374167974,-0.891178965024535,-0.896757027708153,-0.800925084716729,-0.603606383685829,-0.768644504511421,-0.711447250673449,0.590443994351665,0.397400676804388,0.581892956822834,0.966276712311771,1.35889145232391,1.62459601344963,0.783520961360687,0.68802499525747,0.707260584884135,0.575142836584158,0.676692029792064,0.44503443473011,1,0.99999998092178
38,Hg_chrom1_TN10gene_345,-1.4472737397962,-1.5987883224768,-1.25778347271501,-1.323724555476,-1.01862346761823,-1.01964953343159,-0.631186979707827,-0.772896918229809,-0.469780400218014,1.13550488732604,0.784695520131004,0.854559162230695,0.684553230443546,1.09486795176215,0.980400179189267,0.575461979082872,1.01707482125697,1.14111946311726,0.0723848387393352,0.780446637784135,0.418638718606199,1,0.999999991841163
