GeneID	HPmockWT_1	HPmockWT_2	HPmockWT_3	HPmockWT_4	HPmockpho2_1	HPmockpho2_2	HPmockpho2_3	HPmockpho2_4
AGIS_Os01g003070	2701	2337	2149	2853	2493	2695	4121	3554
AGIS_Os01g003080	283	445	453	674	349	367	428	445
AGIS_Os01g003090	10	27	10	56	10	4	22	29
AGIS_Os01g003100	0	26	0	4	6	6	0	25
AGIS_Os01g003110	261	223	172	232	122	139	97	213
AGIS_Os01g003120	2	48	36	54	44	60	24	77
AGIS_Os01g003130	1397	1548	1590	1838	1176	1347	1823	2012
AGIS_Os01g003140	0	0	0	0	0	0	0	0
AGIS_Os01g003150	1202	1100	608	882	1992	658	893	1432
AGIS_Os01g003160	33	28	14	78	44	67	24	58
AGIS_Os01g003170	1965	1440	1402	1838	760	1405	2260	2516
AGIS_Os01g003180	0	0	0	0	0	0	0	0
AGIS_Os01g003190	0	0	0	0	0	0	0	0
AGIS_Os01g003200	0	0	0	0	0	0	2	4
AGIS_Os01g003210	86	12	46	54	6	32	0	10
AGIS_Os01g003220	699	442	316	340	293	285	1140	324
AGIS_Os01g003230	0	0	0	0	0	0	0	0
AGIS_Os01g003240	2610	2073	1575	2490	967	547	1612	898
AGIS_Os01g003250	0	0	4	12	0	0	0	0
AGIS_Os01g003260	60	18	14	56	1	25	24	8
AGIS_Os01g003270	0	6	10	2	6	8	0	0
AGIS_Os01g003280	76	72	138	178	18	69	280	66
AGIS_Os01g003290	924	1681	854	1656	1276	987	829	1177
AGIS_Os01g003300	1856	957	1141	1023	533	540	776	707
AGIS_Os01g003310	0	14	2	0	71	6	4	14
AGIS_Os01g003320	1242	587	470	1096	790	463	755	701
AGIS_Os01g003330	20	37	38	54	30	25	14	34
AGIS_Os01g003340	0	16	14	22	0	0	0	0
AGIS_Os01g003350	26	22	0	52	19	14	6	13
AGIS_Os01g003360	26	18	61	36	46	48	8	20
AGIS_Os01g003370	71	20	30	87	11	29	38	14
AGIS_Os01g003380	0	0	0	0	1	0	0	0
AGIS_Os01g003390	0	0	0	19	10	6	26	0
AGIS_Os01g003400	0	14	0	0	0	6	0	1
AGIS_Os01g003410	0	0	0	0	0	2	0	0
AGIS_Os01g003420	16	3	0	19	2	7	4	0
AGIS_Os01g003430	0	0	0	0	0	0	0	0
AGIS_Os01g003440	2	91	20	30	59	66	10	35
AGIS_Os01g003450	1540	933	668	1261	1301	665	1620	1305
AGIS_Os01g003460	48	104	84	210	33	125	34	56
AGIS_Os01g003470	58	11	13	46	18	31	52	34
AGIS_Os01g003480	0	0	0	0	0	0	0	0
AGIS_Os01g003490	140	81	74	178	2283	461	694	575
AGIS_Os01g003500	1506	1634	2020	2860	4920	3866	5473	3740
AGIS_Os01g003510	4	89	78	142	16	89	112	65
AGIS_Os01g003520	13617	11485	7267	11611	5997	5451	8329	10709
AGIS_Os01g003530	0	22	14	34	54	42	48	70
AGIS_Os01g003540	146	107	58	82	121	141	251	95
AGIS_Os01g003550	0	0	0	0	0	0	0	0
AGIS_Os01g003560	30	110	85	56	47	52	34	34
AGIS_Os01g003570	0	0	0	0	0	0	0	0
AGIS_Os01g003580	947	538	512	768	563	369	540	846
AGIS_Os01g003590	194	238	205	352	219	205	159	443
AGIS_Os01g003600	7314	5664	5413	6923	3456	3846	5552	4230
AGIS_Os01g003610	0	0	0	0	0	0	0	0
AGIS_Os01g003620	56	26	0	9	3	4	0	4
AGIS_Os01g003630	0	0	0	0	0	0	0	0
AGIS_Os01g003640	0	0	0	0	0	0	0	0
AGIS_Os01g003650	0	0	0	0	0	0	0	0
AGIS_Os01g003660	0	0	0	0	0	0	0	0
AGIS_Os01g003670	0	0	0	0	0	0	0	0
AGIS_Os01g003680	0	0	0	0	0	0	0	0
AGIS_Os01g003690	300	208	160	228	1082	156	306	211
AGIS_Os01g003700	1651	4277	3018	4613	3055	2564	3103	3269
AGIS_Os01g003710	0	0	0	0	0	0	0	0
AGIS_Os01g003720	8	82	8	98	64	19	0	26
AGIS_Os01g003730	0	0	0	0	0	0	0	0
AGIS_Os01g003740	0	11	40	89	108	142	170	39
AGIS_Os01g003750	12	171	60	206	117	172	52	75
AGIS_Os01g003760	615	735	486	927	426	412	575	603
AGIS_Os01g003770	257	232	163	331	107	224	208	174
AGIS_Os01g003780	251	350	203	556	166	192	319	208
AGIS_Os01g003790	1139	1164	1574	1826	5226	9890	13397	10591
AGIS_Os01g003800	2775	3065	2064	3148	1860	1360	2337	2303
AGIS_Os01g003810	4026	3379	2262	3203	710	938	2034	2424
AGIS_Os01g003820	0	0	0	0	0	0	0	0
AGIS_Os01g003830	0	0	0	0	0	0	0	0
AGIS_Os01g003840	0	0	0	0	0	0	0	0
AGIS_Os01g003850	218	294	205	400	231	234	160	277
AGIS_Os01g003860	0	0	0	0	0	0	0	0
AGIS_Os01g003870	535	723	858	817	545	759	818	935
AGIS_Os01g003880	0	0	0	0	0	0	0	0
