GeneID	WTmycLP_1	WTmycLP_2	WTmycLP_3	WTmycLP_4	WTmycHP_1	WTmycHP_2	WTmycHP_3	WTmycHP_4
AGIS_Os01g004250	2	14	22	0	12	0	0	4
AGIS_Os01g004260	1603	1205	2066	1501	1485	1671	1617	1942
AGIS_Os01g004270	234	135	202	163	126	202	136	181
AGIS_Os01g004280	2	0	8	8	0	4	3	34
AGIS_Os01g004290	0	0	6	0	0	0	0	0
AGIS_Os01g004300	3	0	0	8	0	2	1	4
AGIS_Os01g004310	1157	927	1620	1225	700	1004	1213	1601
AGIS_Os01g004320	0	0	0	0	0	0	0	6
AGIS_Os01g004330	11867	9357	11662	10023	13733	7635	6786	7965
AGIS_Os01g004340	1332	1634	2723	2003	1504	2427	3754	3200
AGIS_Os01g004350	91	112	151	126	102	102	274	119
AGIS_Os01g004360	0	0	0	0	0	0	0	0
AGIS_Os01g004370	1518	927	1810	1031	365	1365	1220	1128
AGIS_Os01g004380	1324	682	1450	862	1346	976	941	1212
AGIS_Os01g004390	0	0	0	0	0	0	0	0
AGIS_Os01g004400	1331	1023	1684	973	2739	1033	1215	1851
AGIS_Os01g004410	0	0	0	0	0	0	0	0
AGIS_Os01g004420	0	0	0	0	0	0	0	0
AGIS_Os01g004430	0	0	0	0	0	0	2	0
AGIS_Os01g004440	0	0	0	0	0	0	0	0
AGIS_Os01g004450	12	22	54	30	12	28	41	6
AGIS_Os01g004460	1811	1088	2034	1202	3790	2004	1535	2981
AGIS_Os01g004470	162	136	217	149	38	210	279	268
AGIS_Os01g004480	1087	896	1176	866	3225	1850	1243	1667
AGIS_Os01g004490	32	32	139	36	48	12	60	33
AGIS_Os01g004500	1696	1656	2055	845	9177	3683	5454	5102
AGIS_Os01g004510	302	331	394	198	157	260	364	420
AGIS_Os01g004520	3289	2248	3336	2667	5570	2693	2134	3538
AGIS_Os01g004530	32	44	101	114	36	72	79	144
AGIS_Os01g004540	739	400	768	648	1028	564	476	724
AGIS_Os01g004550	0	4	10	79	23	42	28	18
AGIS_Os01g004560	0	0	0	0	8	44	0	12
AGIS_Os01g004570	0	0	0	0	0	0	0	0
AGIS_Os01g004580	0	0	14	0	12	12	10	0
AGIS_Os01g004590	0	0	0	0	0	0	0	0
AGIS_Os01g004600	0	0	0	0	0	0	0	0
AGIS_Os01g004610	0	0	0	0	0	0	0	0
AGIS_Os01g004620	4363	3078	4855	2902	5653	2272	2025	3562
AGIS_Os01g004630	456	326	670	415	509	388	623	611
AGIS_Os01g004640	1176	994	1593	1262	3834	1841	1493	3225
AGIS_Os01g004650	816	260	372	655	2160	736	680	1220
