,genes,logFC,logCPM,F,PValue,FDR,change,CPM.pho2HPmock_1,CPM.phoHPmock_2,CPM.pho2HPmock_3,CPM.pho2HPmock_4,CPM.pho2HPmyc_1,CPM.pho2HPmyc_2,CPM.pho2HPmyc_3,CPM.pho2HPmyc_4
36526,AGIS_Os07g042180, 3.082877e-01, 2.436568e+00, 1.790444e+00,2.214090e-01,6.498774e-01,Not_significant,5.212026e+00,5.733420e+00,3.702599e+00,4.288816e+00,5.911768e+00,8.552905e+00,3.789665e+00,5.804890e+00
36527,AGIS_Os07g042190, 3.181900e-01, 2.376526e+00, 1.056406e+00,3.371771e-01,7.461730e-01,Not_significant,4.659905e+00,6.620478e+00,2.427933e+00,5.066875e+00,6.203707e+00,4.332476e+00,4.689494e+00,7.227816e+00
36528,AGIS_Os07g042200, 1.589088e-01, 2.747144e+00, 3.271352e-01,5.846817e-01,8.719859e-01,Not_significant,6.404609e+00,7.788797e+00,3.641900e+00,7.666732e+00,7.444448e+00,5.060780e+00,6.316108e+00,9.071151e+00
36530,AGIS_Os07g042220, 1.935124e-02, 7.281738e+00, 1.213170e-02,9.152893e-01,9.777747e-01,Not_significant,1.329288e+02,1.544778e+02,1.969661e+02,1.354962e+02,1.406660e+02,1.866699e+02,1.580931e+02,1.392203e+02
36531,AGIS_Os07g042230,-4.166575e-02, 2.933701e+00, 3.476620e-02,8.572088e-01,9.634218e-01,Not_significant,9.121046e+00,8.675855e+00,7.041007e+00,6.034705e+00,6.398333e+00,9.523977e+00,6.644892e+00,7.373342e+00
36532,AGIS_Os07g042240, 8.499020e-02, 6.186292e-01, 3.906652e-02,8.487575e-01,9.608262e-01,Not_significant,9.717337e-01,1.687573e+00,1.456760e+00,1.385325e+00,6.568631e-01,1.643353e+00,2.768705e+00,1.374417e+00
36534,AGIS_Os07g042260, 3.447200e-02, 4.823184e+00, 4.143057e-02,8.443178e-01,9.593876e-01,Not_significant,1.919174e+01,3.760258e+01,2.680843e+01,2.939547e+01,2.457155e+01,3.081287e+01,2.630270e+01,3.146606e+01
36535,AGIS_Os07g042270, 2.946996e-01, 1.580624e-01, 2.254788e-01,6.489012e-01,8.971715e-01,Not_significant,4.196123e-01,5.408887e-01,1.193734e+00,2.068500e+00,1.240741e+00,1.195166e+00,7.960027e-01,1.148042e+00
36541,AGIS_Os07g042330,-2.690043e-01,-1.098788e+00, 5.797779e-02,8.164046e-01,9.522898e-01,Not_significant,2.208486e-01,3.245332e-01,4.451211e-01,5.503347e-01,7.785044e-01,1.867446e-02,2.768705e-01,8.084805e-01
36542,AGIS_Os07g042340, 1.747949e+00,-1.667782e+00, 9.165507e-01,3.692820e-01,7.637889e-01,Not_significant,0.000000e+00,6.274309e-01,0.000000e+00,3.036330e-01,3.892522e-01,2.987914e-01,3.460881e-01,2.425442e-01
36543,AGIS_Os07g042350,-9.379173e-02, 3.752213e+00, 1.997986e-01,6.679626e-01,9.045717e-01,Not_significant,1.932425e+01,8.870575e+00,1.517458e+01,1.277156e+01,1.231010e+01,9.654698e+00,1.379161e+01,1.558750e+01
36544,AGIS_Os07g042360,-1.093415e-01, 5.635532e-01, 2.742078e-02,8.730118e-01,9.672384e-01,Not_significant,1.347176e+00,1.990470e+00,6.676817e-01,1.537142e+00,7.785044e-01,8.590254e-01,3.114793e+00,1.196551e+00
36545,AGIS_Os07g042370, 2.104825e+00, 3.757554e+00, 9.376883e+00,1.821752e-02,2.190634e-01,Not_significant,1.106451e+01,2.834257e+00,9.914062e+00,5.882889e-01,3.817104e+01,8.534230e+00,1.560857e+01,2.119836e+01
36546,AGIS_Os07g042380, 9.136033e-03, 3.541761e+00, 2.850925e-03,9.588629e-01,9.883241e-01,Not_significant,1.490728e+01,1.107740e+01,1.058174e+01,9.830117e+00,1.376980e+01,1.225045e+01,1.052108e+01,9.928141e+00
36547,AGIS_Os07g042390, 8.685058e-01, 1.313436e+00, 4.685887e+00,6.589999e-02,3.973564e-01,Not_significant,1.855128e+00,1.427946e+00,3.500271e+00,7.590824e-01,3.527598e+00,2.950565e+00,3.028271e+00,2.522459e+00
36548,AGIS_Os07g042400, 1.019294e+00, 2.536084e+00, 1.317030e+01,7.948780e-03,1.452232e-01,Not_significant,6.824221e+00,2.444817e+00,3.075382e+00,3.150192e+00,9.488022e+00,4.761988e+00,1.057299e+01,5.772551e+00
36551,AGIS_Os07g042430, 1.037524e+00, 6.308510e+00, 3.900526e+01,3.733925e-04,2.499953e-02,UP,5.150189e+01,4.855017e+01,6.353093e+01,4.514643e+01,1.098664e+02,1.022987e+02,1.055223e+02,1.073339e+02
36552,AGIS_Os07g042440, 9.432372e-01, 4.450373e+00, 1.535512e+01,5.399262e-03,1.191678e-01,Not_significant,2.734105e+01,6.447393e+00,1.108756e+01,1.821798e+01,3.967940e+01,1.647088e+01,3.158054e+01,2.376933e+01
